"success","trial_type","trial_index","time_elapsed","internal_node_id","timeout","failed_images","failed_audio","failed_video","rt","response","question_order","stimulus","load_time","raw_gaze","percent_in_roi","average_offset","validation_points","samples_per_sec","task","phase","ans","ISI","webgazer_data","webgazer_targets","size","target","response_answer","correct","webgazer_targets_data"
"true","fullscreen","0","285797","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","285804","0.0-1.0","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","2","293156","0.0-2.0-0.0","","","","","7351","{""name"":""罗晨曦"",""age"":""23""}","","","","","","","","","","","","","","","","","","",""
"","survey-multi-choice","3","295284","0.0-2.0-1.0","","","","","2127","{""sex"":""女""}","[0]","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","4","296740","0.0-3.0","","","","","1453"," ","","<p>实验说明：该实验根据颜色和形状各有两组，每组实验开始前会有一个眼动校准。</p><p>按""space""键继续。</p>","","","","","","","","","","","","","","","","",""
"","webgazer-init-camera","5","305611","0.0-4.0","","","","","","","","","2185","","","","","","","","","","","","","","","",""
"","html-button-response","6","307028","0.0-5.0-0.0","","","","","1415","0","","
        <p>现在，眼动追踪器将经过校准，将你眼睛的图像从网络摄像头转换到你屏幕上的某个位置。</p>
        <p>为此，需要单击一系列点。</p>
        <p>保持头不动，点击每一个出现的点。当点击它的时候，看着这个点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-calibrate","7","318550","0.0-5.0-1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","8","320212","0.0-5.0-2.0","","","","","1662","0","","
        <p>展示眼球追踪的准确性</p>
        <p>保持头不动，当每个点出现时，移动眼睛聚焦在它上面。</p>
        <p>不需要点击点。移动眼睛看这些点。</p>
      ","","","","","","","","","","","","","","","","",""
"","webgazer-validate","9","342372","0.0-5.0-3.0","","","","","","","","","","[[{""x"":496,""y"":340,""dx"":5,""dy"":59,""t"":989},{""x"":479,""y"":332,""dx"":-12,""dy"":51,""t"":1023},{""x"":497,""y"":310,""dx"":6,""dy"":29,""t"":1058},{""x"":539,""y"":311,""dx"":48,""dy"":30,""t"":1092},{""x"":524,""y"":321,""dx"":33,""dy"":40,""t"":1126},{""x"":519,""y"":328,""dx"":28,""dy"":47,""t"":1160},{""x"":505,""y"":348,""dx"":14,""dy"":67,""t"":1194},{""x"":524,""y"":334,""dx"":33,""dy"":53,""t"":1228},{""x"":524,""y"":330,""dx"":33,""dy"":49,""t"":1262},{""x"":526,""y"":332,""dx"":35,""dy"":51,""t"":1296},{""x"":554,""y"":332,""dx"":63,""dy"":51,""t"":1331},{""x"":553,""y"":330,""dx"":62,""dy"":49,""t"":1363},{""x"":561,""y"":332,""dx"":70,""dy"":51,""t"":1397},{""x"":535,""y"":329,""dx"":44,""dy"":48,""t"":1431},{""x"":530,""y"":332,""dx"":39,""dy"":51,""t"":1466},{""x"":529,""y"":336,""dx"":38,""dy"":55,""t"":1500},{""x"":530,""y"":347,""dx"":39,""dy"":66,""t"":1534},{""x"":530,""y"":363,""dx"":39,""dy"":82,""t"":1568},{""x"":544,""y"":361,""dx"":53,""dy"":80,""t"":1601},{""x"":564,""y"":345,""dx"":73,""dy"":64,""t"":1636},{""x"":562,""y"":319,""dx"":71,""dy"":38,""t"":1669},{""x"":543,""y"":330,""dx"":52,""dy"":49,""t"":1704},{""x"":562,""y"":305,""dx"":71,""dy"":24,""t"":1737},{""x"":560,""y"":311,""dx"":69,""dy"":30,""t"":1772},{""x"":550,""y"":306,""dx"":59,""dy"":25,""t"":1806},{""x"":535,""y"":306,""dx"":44,""dy"":25,""t"":1841},{""x"":544,""y"":302,""dx"":53,""dy"":21,""t"":1873},{""x"":548,""y"":293,""dx"":57,""dy"":12,""t"":1908},{""x"":560,""y"":315,""dx"":69,""dy"":34,""t"":1942},{""x"":577,""y"":320,""dx"":86,""dy"":39,""t"":1976},{""x"":580,""y"":330,""dx"":89,""dy"":49,""t"":2010},{""x"":560,""y"":344,""dx"":69,""dy"":63,""t"":2044},{""x"":539,""y"":363,""dx"":48,""dy"":82,""t"":2078},{""x"":560,""y"":342,""dx"":69,""dy"":61,""t"":2112},{""x"":551,""y"":367,""dx"":60,""dy"":86,""t"":2146},{""x"":556,""y"":381,""dx"":65,""dy"":100,""t"":2180},{""x"":554,""y"":392,""dx"":63,""dy"":111,""t"":2215},{""x"":533,""y"":384,""dx"":42,""dy"":103,""t"":2248},{""x"":546,""y"":389,""dx"":55,""dy"":108,""t"":2281},{""x"":542,""y"":414,""dx"":51,""dy"":133,""t"":2316},{""x"":552,""y"":390,""dx"":61,""dy"":109,""t"":2349},{""x"":558,""y"":371,""dx"":67,""dy"":90,""t"":2383},{""x"":563,""y"":364,""dx"":72,""dy"":83,""t"":2418},{""x"":556,""y"":367,""dx"":65,""dy"":86,""t"":2452},{""x"":550,""y"":371,""dx"":59,""dy"":90,""t"":2484},{""x"":510,""y"":388,""dx"":19,""dy"":107,""t"":2519},{""x"":521,""y"":339,""dx"":30,""dy"":58,""t"":2553},{""x"":526,""y"":338,""dx"":35,""dy"":57,""t"":2588},{""x"":500,""y"":359,""dx"":9,""dy"":78,""t"":2622},{""x"":524,""y"":359,""dx"":33,""dy"":78,""t"":2656},{""x"":521,""y"":360,""dx"":30,""dy"":79,""t"":2690},{""x"":520,""y"":359,""dx"":29,""dy"":78,""t"":2724},{""x"":525,""y"":355,""dx"":34,""dy"":74,""t"":2757},{""x"":539,""y"":323,""dx"":48,""dy"":42,""t"":2791},{""x"":539,""y"":293,""dx"":48,""dy"":12,""t"":2826},{""x"":547,""y"":332,""dx"":56,""dy"":51,""t"":2860},{""x"":553,""y"":367,""dx"":62,""dy"":86,""t"":2892},{""x"":550,""y"":345,""dx"":59,""dy"":64,""t"":2927},{""x"":563,""y"":378,""dx"":72,""dy"":97,""t"":2962},{""x"":570,""y"":348,""dx"":79,""dy"":67,""t"":2996}],[{""x"":1348,""y"":378,""dx"":-103,""dy"":97,""t"":4015},{""x"":1297,""y"":352,""dx"":-154,""dy"":71,""t"":4050},{""x"":1254,""y"":331,""dx"":-197,""dy"":50,""t"":4082},{""x"":1252,""y"":309,""dx"":-199,""dy"":28,""t"":4118},{""x"":1256,""y"":338,""dx"":-195,""dy"":57,""t"":4152},{""x"":1253,""y"":360,""dx"":-198,""dy"":79,""t"":4187},{""x"":1237,""y"":386,""dx"":-214,""dy"":105,""t"":4219},{""x"":1236,""y"":348,""dx"":-215,""dy"":67,""t"":4254},{""x"":1312,""y"":330,""dx"":-139,""dy"":49,""t"":4289},{""x"":1310,""y"":369,""dx"":-141,""dy"":88,""t"":4322},{""x"":1299,""y"":353,""dx"":-152,""dy"":72,""t"":4356},{""x"":1308,""y"":375,""dx"":-143,""dy"":94,""t"":4389},{""x"":1318,""y"":390,""dx"":-133,""dy"":109,""t"":4423},{""x"":1340,""y"":408,""dx"":-111,""dy"":127,""t"":4458},{""x"":1358,""y"":423,""dx"":-93,""dy"":142,""t"":4490},{""x"":1361,""y"":419,""dx"":-90,""dy"":138,""t"":4525},{""x"":1353,""y"":379,""dx"":-98,""dy"":98,""t"":4559},{""x"":1376,""y"":380,""dx"":-75,""dy"":99,""t"":4594},{""x"":1387,""y"":388,""dx"":-64,""dy"":107,""t"":4628},{""x"":1351,""y"":396,""dx"":-100,""dy"":115,""t"":4662},{""x"":1360,""y"":394,""dx"":-91,""dy"":113,""t"":4696},{""x"":1337,""y"":413,""dx"":-114,""dy"":132,""t"":4730},{""x"":1348,""y"":414,""dx"":-103,""dy"":133,""t"":4763},{""x"":1336,""y"":402,""dx"":-115,""dy"":121,""t"":4798},{""x"":1342,""y"":405,""dx"":-109,""dy"":124,""t"":4831},{""x"":1359,""y"":408,""dx"":-92,""dy"":127,""t"":4866},{""x"":1366,""y"":436,""dx"":-85,""dy"":155,""t"":4899},{""x"":1364,""y"":414,""dx"":-87,""dy"":133,""t"":4934},{""x"":1370,""y"":407,""dx"":-81,""dy"":126,""t"":4967},{""x"":1369,""y"":389,""dx"":-82,""dy"":108,""t"":5002},{""x"":1362,""y"":383,""dx"":-89,""dy"":102,""t"":5036},{""x"":1370,""y"":338,""dx"":-81,""dy"":57,""t"":5069},{""x"":1358,""y"":344,""dx"":-93,""dy"":63,""t"":5103},{""x"":1361,""y"":354,""dx"":-90,""dy"":73,""t"":5139},{""x"":1346,""y"":325,""dx"":-105,""dy"":44,""t"":5172},{""x"":1355,""y"":347,""dx"":-96,""dy"":66,""t"":5206},{""x"":1352,""y"":376,""dx"":-99,""dy"":95,""t"":5240},{""x"":1355,""y"":394,""dx"":-96,""dy"":113,""t"":5274},{""x"":1343,""y"":403,""dx"":-108,""dy"":122,""t"":5308},{""x"":1355,""y"":404,""dx"":-96,""dy"":123,""t"":5342},{""x"":1367,""y"":404,""dx"":-84,""dy"":123,""t"":5376},{""x"":1355,""y"":420,""dx"":-96,""dy"":139,""t"":5410},{""x"":1379,""y"":431,""dx"":-72,""dy"":150,""t"":5444},{""x"":1366,""y"":432,""dx"":-85,""dy"":151,""t"":5478},{""x"":1368,""y"":384,""dx"":-83,""dy"":103,""t"":5512},{""x"":1361,""y"":402,""dx"":-90,""dy"":121,""t"":5546},{""x"":1355,""y"":413,""dx"":-96,""dy"":132,""t"":5580},{""x"":1366,""y"":384,""dx"":-85,""dy"":103,""t"":5614},{""x"":1357,""y"":390,""dx"":-94,""dy"":109,""t"":5648},{""x"":1346,""y"":403,""dx"":-105,""dy"":122,""t"":5682},{""x"":1356,""y"":415,""dx"":-95,""dy"":134,""t"":5716},{""x"":1367,""y"":403,""dx"":-84,""dy"":122,""t"":5750},{""x"":1346,""y"":408,""dx"":-105,""dy"":127,""t"":5784},{""x"":1373,""y"":410,""dx"":-78,""dy"":129,""t"":5818},{""x"":1402,""y"":402,""dx"":-49,""dy"":121,""t"":5852},{""x"":1396,""y"":385,""dx"":-55,""dy"":104,""t"":5886},{""x"":1370,""y"":391,""dx"":-81,""dy"":110,""t"":5919},{""x"":1381,""y"":394,""dx"":-70,""dy"":113,""t"":5954},{""x"":1387,""y"":402,""dx"":-64,""dy"":121,""t"":5988}],[{""x"":994,""y"":508,""dx"":23,""dy"":-43,""t"":7042},{""x"":1016,""y"":487,""dx"":45,""dy"":-64,""t"":7076},{""x"":1017,""y"":481,""dx"":46,""dy"":-70,""t"":7110},{""x"":995,""y"":523,""dx"":24,""dy"":-28,""t"":7144},{""x"":1003,""y"":523,""dx"":32,""dy"":-28,""t"":7177},{""x"":1011,""y"":489,""dx"":40,""dy"":-62,""t"":7212},{""x"":1025,""y"":478,""dx"":54,""dy"":-73,""t"":7246},{""x"":1001,""y"":481,""dx"":30,""dy"":-70,""t"":7279},{""x"":983,""y"":502,""dx"":12,""dy"":-49,""t"":7314},{""x"":972,""y"":511,""dx"":1,""dy"":-40,""t"":7348},{""x"":962,""y"":485,""dx"":-9,""dy"":-66,""t"":7382},{""x"":993,""y"":473,""dx"":22,""dy"":-78,""t"":7416},{""x"":1032,""y"":495,""dx"":61,""dy"":-56,""t"":7450},{""x"":1043,""y"":483,""dx"":72,""dy"":-68,""t"":7484},{""x"":1065,""y"":470,""dx"":94,""dy"":-81,""t"":7518},{""x"":1085,""y"":494,""dx"":114,""dy"":-57,""t"":7551},{""x"":1067,""y"":481,""dx"":96,""dy"":-70,""t"":7586},{""x"":1081,""y"":481,""dx"":110,""dy"":-70,""t"":7619},{""x"":1092,""y"":482,""dx"":121,""dy"":-69,""t"":7651},{""x"":1070,""y"":477,""dx"":99,""dy"":-74,""t"":7688},{""x"":1087,""y"":496,""dx"":116,""dy"":-55,""t"":7721},{""x"":1103,""y"":506,""dx"":132,""dy"":-45,""t"":7756},{""x"":1116,""y"":492,""dx"":145,""dy"":-59,""t"":7790},{""x"":1106,""y"":469,""dx"":135,""dy"":-82,""t"":7823},{""x"":1059,""y"":481,""dx"":88,""dy"":-70,""t"":7857},{""x"":1051,""y"":502,""dx"":80,""dy"":-49,""t"":7893},{""x"":1057,""y"":517,""dx"":86,""dy"":-34,""t"":7926},{""x"":1031,""y"":525,""dx"":60,""dy"":-26,""t"":7960},{""x"":1030,""y"":506,""dx"":59,""dy"":-45,""t"":7993},{""x"":1030,""y"":485,""dx"":59,""dy"":-66,""t"":8028},{""x"":1030,""y"":467,""dx"":59,""dy"":-84,""t"":8059},{""x"":1012,""y"":461,""dx"":41,""dy"":-90,""t"":8097},{""x"":1033,""y"":460,""dx"":62,""dy"":-91,""t"":8130},{""x"":1053,""y"":449,""dx"":82,""dy"":-102,""t"":8163},{""x"":1051,""y"":446,""dx"":80,""dy"":-105,""t"":8198},{""x"":1076,""y"":434,""dx"":105,""dy"":-117,""t"":8232},{""x"":1087,""y"":464,""dx"":116,""dy"":-87,""t"":8265},{""x"":1095,""y"":502,""dx"":124,""dy"":-49,""t"":8300},{""x"":1093,""y"":498,""dx"":122,""dy"":-53,""t"":8334},{""x"":1103,""y"":490,""dx"":132,""dy"":-61,""t"":8368},{""x"":1056,""y"":509,""dx"":85,""dy"":-42,""t"":8401},{""x"":1038,""y"":482,""dx"":67,""dy"":-69,""t"":8436},{""x"":972,""y"":561,""dx"":1,""dy"":10,""t"":8469},{""x"":838,""y"":665,""dx"":-133,""dy"":114,""t"":8503},{""x"":800,""y"":697,""dx"":-171,""dy"":146,""t"":8537},{""x"":800,""y"":703,""dx"":-171,""dy"":152,""t"":8572},{""x"":801,""y"":693,""dx"":-170,""dy"":142,""t"":8607},{""x"":793,""y"":675,""dx"":-178,""dy"":124,""t"":8640},{""x"":818,""y"":666,""dx"":-153,""dy"":115,""t"":8674},{""x"":855,""y"":639,""dx"":-116,""dy"":88,""t"":8708},{""x"":887,""y"":604,""dx"":-84,""dy"":53,""t"":8741},{""x"":885,""y"":550,""dx"":-86,""dy"":-1,""t"":8775},{""x"":916,""y"":528,""dx"":-55,""dy"":-23,""t"":8810},{""x"":950,""y"":513,""dx"":-21,""dy"":-38,""t"":8844},{""x"":961,""y"":498,""dx"":-10,""dy"":-53,""t"":8878},{""x"":988,""y"":490,""dx"":17,""dy"":-61,""t"":8913},{""x"":1007,""y"":480,""dx"":36,""dy"":-71,""t"":8946},{""x"":1002,""y"":477,""dx"":31,""dy"":-74,""t"":8979},{""x"":1022,""y"":485,""dx"":51,""dy"":-66,""t"":9014}],[{""x"":664,""y"":736,""dx"":173,""dy"":-85,""t"":10035},{""x"":668,""y"":712,""dx"":177,""dy"":-109,""t"":10068},{""x"":636,""y"":686,""dx"":145,""dy"":-135,""t"":10102},{""x"":635,""y"":699,""dx"":144,""dy"":-122,""t"":10136},{""x"":602,""y"":678,""dx"":111,""dy"":-143,""t"":10170},{""x"":568,""y"":646,""dx"":77,""dy"":-175,""t"":10203},{""x"":566,""y"":634,""dx"":75,""dy"":-187,""t"":10237},{""x"":565,""y"":643,""dx"":74,""dy"":-178,""t"":10272},{""x"":542,""y"":611,""dx"":51,""dy"":-210,""t"":10306},{""x"":540,""y"":613,""dx"":49,""dy"":-208,""t"":10340},{""x"":558,""y"":614,""dx"":67,""dy"":-207,""t"":10374},{""x"":596,""y"":640,""dx"":105,""dy"":-181,""t"":10408},{""x"":525,""y"":708,""dx"":34,""dy"":-113,""t"":10441},{""x"":489,""y"":767,""dx"":-2,""dy"":-54,""t"":10476},{""x"":502,""y"":791,""dx"":11,""dy"":-30,""t"":10510},{""x"":530,""y"":772,""dx"":39,""dy"":-49,""t"":10543},{""x"":581,""y"":751,""dx"":90,""dy"":-70,""t"":10578},{""x"":580,""y"":746,""dx"":89,""dy"":-75,""t"":10611},{""x"":584,""y"":720,""dx"":93,""dy"":-101,""t"":10646},{""x"":602,""y"":696,""dx"":111,""dy"":-125,""t"":10680},{""x"":624,""y"":683,""dx"":133,""dy"":-138,""t"":10713},{""x"":630,""y"":671,""dx"":139,""dy"":-150,""t"":10747},{""x"":641,""y"":660,""dx"":150,""dy"":-161,""t"":10782},{""x"":646,""y"":651,""dx"":155,""dy"":-170,""t"":10816},{""x"":636,""y"":624,""dx"":145,""dy"":-197,""t"":10850},{""x"":614,""y"":598,""dx"":123,""dy"":-223,""t"":10884},{""x"":650,""y"":601,""dx"":159,""dy"":-220,""t"":10918},{""x"":697,""y"":610,""dx"":206,""dy"":-211,""t"":10952},{""x"":657,""y"":616,""dx"":166,""dy"":-205,""t"":10986},{""x"":644,""y"":615,""dx"":153,""dy"":-206,""t"":11019},{""x"":622,""y"":610,""dx"":131,""dy"":-211,""t"":11054},{""x"":660,""y"":599,""dx"":169,""dy"":-222,""t"":11088},{""x"":645,""y"":602,""dx"":154,""dy"":-219,""t"":11122},{""x"":628,""y"":578,""dx"":137,""dy"":-243,""t"":11156},{""x"":621,""y"":606,""dx"":130,""dy"":-215,""t"":11190},{""x"":615,""y"":630,""dx"":124,""dy"":-191,""t"":11222},{""x"":622,""y"":650,""dx"":131,""dy"":-171,""t"":11257},{""x"":637,""y"":654,""dx"":146,""dy"":-167,""t"":11293},{""x"":631,""y"":693,""dx"":140,""dy"":-128,""t"":11326},{""x"":642,""y"":683,""dx"":151,""dy"":-138,""t"":11359},{""x"":616,""y"":692,""dx"":125,""dy"":-129,""t"":11393},{""x"":629,""y"":662,""dx"":138,""dy"":-159,""t"":11428},{""x"":603,""y"":653,""dx"":112,""dy"":-168,""t"":11461},{""x"":601,""y"":635,""dx"":110,""dy"":-186,""t"":11496},{""x"":576,""y"":642,""dx"":85,""dy"":-179,""t"":11529},{""x"":593,""y"":627,""dx"":102,""dy"":-194,""t"":11564},{""x"":600,""y"":621,""dx"":109,""dy"":-200,""t"":11598},{""x"":572,""y"":624,""dx"":81,""dy"":-197,""t"":11631},{""x"":555,""y"":618,""dx"":64,""dy"":-203,""t"":11667},{""x"":544,""y"":612,""dx"":53,""dy"":-209,""t"":11700},{""x"":556,""y"":619,""dx"":65,""dy"":-202,""t"":11734},{""x"":545,""y"":615,""dx"":54,""dy"":-206,""t"":11768},{""x"":545,""y"":626,""dx"":54,""dy"":-195,""t"":11801},{""x"":541,""y"":647,""dx"":50,""dy"":-174,""t"":11836},{""x"":537,""y"":637,""dx"":46,""dy"":-184,""t"":11869},{""x"":548,""y"":649,""dx"":57,""dy"":-172,""t"":11903},{""x"":580,""y"":633,""dx"":89,""dy"":-188,""t"":11938},{""x"":614,""y"":626,""dx"":123,""dy"":-195,""t"":11971},{""x"":612,""y"":620,""dx"":121,""dy"":-201,""t"":12006}],[{""x"":817,""y"":821,""dx"":-634,""dy"":0,""t"":13060},{""x"":792,""y"":811,""dx"":-659,""dy"":-10,""t"":13094},{""x"":766,""y"":811,""dx"":-685,""dy"":-10,""t"":13127},{""x"":786,""y"":812,""dx"":-665,""dy"":-9,""t"":13163},{""x"":809,""y"":812,""dx"":-642,""dy"":-9,""t"":13194},{""x"":856,""y"":810,""dx"":-595,""dy"":-11,""t"":13230},{""x"":904,""y"":780,""dx"":-547,""dy"":-41,""t"":13263},{""x"":950,""y"":770,""dx"":-501,""dy"":-51,""t"":13298},{""x"":985,""y"":776,""dx"":-466,""dy"":-45,""t"":13331},{""x"":1010,""y"":751,""dx"":-441,""dy"":-70,""t"":13366},{""x"":1059,""y"":729,""dx"":-392,""dy"":-92,""t"":13400},{""x"":1111,""y"":709,""dx"":-340,""dy"":-112,""t"":13433},{""x"":1139,""y"":733,""dx"":-312,""dy"":-88,""t"":13468},{""x"":1169,""y"":732,""dx"":-282,""dy"":-89,""t"":13502},{""x"":1187,""y"":755,""dx"":-264,""dy"":-66,""t"":13536},{""x"":1213,""y"":743,""dx"":-238,""dy"":-78,""t"":13569},{""x"":1196,""y"":718,""dx"":-255,""dy"":-103,""t"":13603},{""x"":1235,""y"":712,""dx"":-216,""dy"":-109,""t"":13638},{""x"":1243,""y"":716,""dx"":-208,""dy"":-105,""t"":13671},{""x"":1259,""y"":712,""dx"":-192,""dy"":-109,""t"":13706},{""x"":1270,""y"":724,""dx"":-181,""dy"":-97,""t"":13740},{""x"":1247,""y"":721,""dx"":-204,""dy"":-100,""t"":13774},{""x"":1258,""y"":716,""dx"":-193,""dy"":-105,""t"":13808},{""x"":1276,""y"":724,""dx"":-175,""dy"":-97,""t"":13841},{""x"":1272,""y"":747,""dx"":-179,""dy"":-74,""t"":13875},{""x"":1252,""y"":761,""dx"":-199,""dy"":-60,""t"":13910},{""x"":1252,""y"":783,""dx"":-199,""dy"":-38,""t"":13944},{""x"":1241,""y"":792,""dx"":-210,""dy"":-29,""t"":13979},{""x"":1234,""y"":817,""dx"":-217,""dy"":-4,""t"":14011},{""x"":1219,""y"":802,""dx"":-232,""dy"":-19,""t"":14046},{""x"":1228,""y"":800,""dx"":-223,""dy"":-21,""t"":14080},{""x"":1244,""y"":789,""dx"":-207,""dy"":-32,""t"":14114},{""x"":1262,""y"":765,""dx"":-189,""dy"":-56,""t"":14148},{""x"":1244,""y"":749,""dx"":-207,""dy"":-72,""t"":14182},{""x"":1211,""y"":725,""dx"":-240,""dy"":-96,""t"":14215},{""x"":1191,""y"":707,""dx"":-260,""dy"":-114,""t"":14251},{""x"":1211,""y"":694,""dx"":-240,""dy"":-127,""t"":14284},{""x"":1216,""y"":677,""dx"":-235,""dy"":-144,""t"":14318},{""x"":1187,""y"":685,""dx"":-264,""dy"":-136,""t"":14352},{""x"":1163,""y"":693,""dx"":-288,""dy"":-128,""t"":14384},{""x"":1183,""y"":693,""dx"":-268,""dy"":-128,""t"":14420},{""x"":1183,""y"":689,""dx"":-268,""dy"":-132,""t"":14453},{""x"":1180,""y"":697,""dx"":-271,""dy"":-124,""t"":14488},{""x"":1158,""y"":712,""dx"":-293,""dy"":-109,""t"":14522},{""x"":1153,""y"":709,""dx"":-298,""dy"":-112,""t"":14556},{""x"":1161,""y"":703,""dx"":-290,""dy"":-118,""t"":14589},{""x"":1182,""y"":694,""dx"":-269,""dy"":-127,""t"":14623},{""x"":1203,""y"":703,""dx"":-248,""dy"":-118,""t"":14658},{""x"":1198,""y"":691,""dx"":-253,""dy"":-130,""t"":14692},{""x"":1196,""y"":695,""dx"":-255,""dy"":-126,""t"":14726},{""x"":1209,""y"":721,""dx"":-242,""dy"":-100,""t"":14760},{""x"":1220,""y"":743,""dx"":-231,""dy"":-78,""t"":14792},{""x"":1216,""y"":732,""dx"":-235,""dy"":-89,""t"":14828},{""x"":1235,""y"":733,""dx"":-216,""dy"":-88,""t"":14862},{""x"":1231,""y"":745,""dx"":-220,""dy"":-76,""t"":14895},{""x"":1235,""y"":761,""dx"":-216,""dy"":-60,""t"":14930},{""x"":1230,""y"":756,""dx"":-221,""dy"":-65,""t"":14964},{""x"":1202,""y"":726,""dx"":-249,""dy"":-95,""t"":14998},{""x"":1217,""y"":739,""dx"":-234,""dy"":-82,""t"":15032}]]","[100,89.83050847457628,93.22033898305084,35.59322033898305,3.389830508474576]","[{""x"":49.2,""y"":62.53333333333333,""r"":41.897320264440054},{""x"":-106.72881355932203,""y"":106.03389830508475,""r"":32.567116299452294},{""x"":32.3728813559322,""y"":-36.271186440677965,""r"":55.904207169061785},{""x"":106.66101694915254,""y"":-167.52542372881356,""r"":52.901262007408135},{""x"":-299.20338983050846,""y"":-79.88135593220339,""r"":85.54573275734165}]","[[25,25],[75,25],[50,50],[25,75],[75,75]]","29.41","validate","","","","","","","","","",""
